"id_establecimiento","id_partido","votos","votos_paso","votos_pv","dif_paso","dif_pv"
1,"0131",1241,787,884,454,357
1,"0135",1515,1020,1133,495,382
2,"0131",595,505,478,90,117
2,"0135",895,620,603,275,292
3,"0131",976,634,803,342,173
3,"0135",1576,889,1058,687,518
4,"0131",523,209,246,314,277
4,"0135",228,263,293,-35,-65
5,"0131",1603,1012,1095,591,508
5,"0135",1651,1193,1302,458,349
6,"0131",858,600,674,258,184
6,"0135",1344,833,922,511,422
7,"0131",600,458,500,142,100
7,"0135",882,515,592,367,290
8,"0131",1156,137,173,1019,983
8,"0135",374,1058,1187,-684,-813
9,"0131",647,157,183,490,464
9,"0135",909,1068,1210,-159,-301
10,"0131",1459,1303,1632,156,-173
10,"0135",1326,480,516,846,810
11,"0131",893,863,1101,30,-208
11,"0135",1046,356,375,690,671
12,"0131",2216,367,424,1849,1792
12,"0135",2698,3696,4016,-998,-1318
13,"0131",2704,384,446,2320,2258
13,"0135",2907,4180,4622,-1273,-1715
14,"0131",547,65,78,482,469
14,"0135",724,757,1055,-33,-331
15,"0131",1426,372,387,1054,1039
15,"0135",1827,2455,2411,-628,-584
16,"0131",455,87,115,368,340
16,"0135",559,743,786,-184,-227
17,"0131",502,170,191,332,311
17,"0135",954,984,1044,-30,-90
18,"0131",1509,491,538,1018,971
18,"0135",1601,1997,2035,-396,-434
19,"0131",627,142,180,485,447
19,"0135",514,695,777,-181,-263
20,"0131",801,204,262,597,539
20,"0135",541,813,832,-272,-291
21,"0131",1815,626,749,1189,1066
21,"0135",1646,1866,2033,-220,-387
22,"0131",1131,350,413,781,718
22,"0135",927,971,1215,-44,-288
23,"0131",873,370,415,503,458
23,"0135",1136,1098,1182,38,-46
24,"0131",1150,488,565,662,585
24,"0135",1340,1293,1426,47,-86
25,"0131",2208,758,869,1450,1339
25,"0135",1912,2186,2366,-274,-454
26,"0131",965,344,403,621,562
26,"0135",979,1019,1132,-40,-153
27,"0131",912,593,671,319,241
27,"0135",1446,976,1099,470,347
28,"0131",1292,506,607,786,685
28,"0135",963,1037,1141,-74,-178
29,"0131",676,474,518,202,158
29,"0135",1221,773,882,448,339
30,"0131",1362,530,606,832,756
30,"0135",790,897,975,-107,-185
31,"0131",2188,883,999,1305,1189
31,"0135",1462,1497,1684,-35,-222
32,"0131",607,225,248,382,359
32,"0135",327,405,450,-78,-123
33,"0131",1159,543,633,616,526
33,"0135",1061,854,1012,207,49
34,"0131",863,329,404,534,459
34,"0135",584,616,680,-32,-96
35,"0131",1327,487,563,840,764
35,"0135",689,799,901,-110,-212
36,"0131",1071,556,559,515,512
36,"0135",943,824,910,119,33
37,"0131",1081,453,500,628,581
37,"0135",652,722,756,-70,-104
38,"0131",1092,595,689,497,403
38,"0135",1442,1075,1180,367,262
39,"0131",766,269,294,497,472
39,"0135",234,370,416,-136,-182
40,"0131",588,283,312,305,276
40,"0135",627,558,613,69,14
41,"0131",837,551,629,286,208
41,"0135",1548,1074,1231,474,317
42,"0131",1414,641,716,773,698
42,"0135",765,792,884,-27,-119
43,"0131",1170,728,819,442,351
43,"0135",1264,860,941,404,323
44,"0131",488,444,487,44,1
44,"0135",941,521,544,420,397
45,"0131",763,743,864,20,-101
45,"0135",2003,1087,1185,916,818
46,"0131",728,280,305,448,423
46,"0135",267,379,422,-112,-155
47,"0131",779,362,401,417,378
47,"0135",458,469,533,-11,-75
48,"0131",777,272,327,505,450
48,"0135",207,383,419,-176,-212
49,"0131",1826,1003,1102,823,724
49,"0135",1740,1339,1459,401,281
50,"0131",1541,636,746,905,795
50,"0135",754,842,952,-88,-198
51,"0131",378,292,301,86,77
51,"0135",664,353,400,311,264
52,"0131",1183,508,607,675,576
52,"0135",813,783,855,30,-42
53,"0131",524,708,827,-184,-303
53,"0135",1957,857,964,1100,993
54,"0131",496,340,391,156,105
54,"0135",738,434,506,304,232
55,"0131",737,515,568,222,169
55,"0135",1014,642,702,372,312
56,"0131",1580,671,836,909,744
56,"0135",977,904,1007,73,-30
57,"0131",1164,744,834,420,330
57,"0135",1342,880,1025,462,317
58,"0131",637,264,318,373,319
58,"0135",392,370,436,22,-44
59,"0131",894,405,439,489,455
59,"0135",375,424,480,-49,-105
60,"0131",440,257,300,183,140
60,"0135",340,239,275,101,65
61,"0131",2318,789,942,1529,1376
61,"0135",3404,3657,4055,-253,-651
62,"0131",1237,135,152,1102,1085
62,"0135",531,1342,1451,-811,-920
63,"0131",2789,380,457,2409,2332
63,"0135",2705,4344,4489,-1639,-1784
64,"0131",254,66,75,188,179
64,"0135",494,538,601,-44,-107
65,"0131",541,124,140,417,401
65,"0135",1198,1282,1399,-84,-201
66,"0131",1890,425,458,1465,1432
66,"0135",1440,2077,2302,-637,-862
67,"0131",1240,354,397,886,843
67,"0135",1354,1561,1699,-207,-345
68,"0131",300,141,163,159,137
68,"0135",726,627,702,99,24
